event_idx,fire_time_s,fire_to_muzzle_s,fire_to_impact_s,pitch_peak_signed_deg,pitch_peak_abs_deg,pitch_peak_time_s,pitch_recovery_s,pitch_target_range_deg,pitch_target_stable,yaw_peak_signed_deg,yaw_peak_abs_deg,yaw_peak_time_s,yaw_recovery_s,yaw_target_range_deg,yaw_target_stable,disturbance_vector_abs_deg,stable_target,valid_disturbance_shot
255,5902.099102464001,0.039634687999750895,0.1561361919993942,-2.624886412009811,2.624886412009811,0.08269823999944492,0.26481740799954423,7.270106974303554,0,3.443106832851784,3.443106832851784,0.27449958399938623,nan,5.806956076623276,0,4.3295511705469405,0,0
256,5907.880474624,0.04136448000008386,0.1949388800003362,-2.6307917799611458,2.6307917799611458,0.18122086400035187,0.30232729599993036,4.851515539742019,0,-4.178591278785035,4.178591278785035,0.40156236799975886,nan,7.313634102721444,0,4.937781937737782,0,0
257,5908.215964416,0.04067840000061551,0.1558640640005251,-1.916803666062604,1.916803666062604,0.1376204799998959,0.377148928000679,4.443597923864097,0,-3.92301960766555,3.92301960766555,0.0660725759998968,0.306374144000074,12.060555100353639,0,4.366259169627864,0,0
258,5914.256697088001,0.039205375999699754,0.16927001599924552,-2.670695340163891,2.670695340163891,0.16458521599997766,0.2854005760000291,5.903035123446438,0,-1.9406537563521056,1.9406537563521056,0.40616678399965167,nan,0.8089779641768047,0,3.3013255825526597,0,0
259,5914.594438144,0.04814054399957968,0.1611942400004409,-2.659629909293173,2.659629909293173,0.15673471999980393,nan,8.077529716247412,0,-1.8757466688415576,1.8757466688415576,0.0684257279999656,0.20766054399973655,2.3504002784942983,0,3.2545440264462564,0,0
260,5921.822492416,0.0404385279998678,0.17641548800020246,1.0533523096938087,1.0533523096938087,0.015243519999785349,nan,5.564002123054459,0,0.15640435319041046,0.15640435319041046,0.006981632000133686,0.09856921600021451,0.890974327865468,0,1.0649006573545685,0,0
261,5922.125147648,0.04005529599999136,0.1660390400002143,0.19999749214171292,0.19999749214171292,0.3143216640000901,nan,6.2797188996260385,0,-0.06794234008783384,0.06794234008783384,0.0035013120004805387,0.08653900799981784,1.1252095128286044,0,0.2112230064164067,0,0
262,5922.4401425920005,0.04058214399992721,0.16963916799977596,-0.1861059932592628,0.1861059932592628,0.20087910399979592,nan,6.231558676365964,0,-0.030912492952902326,0.030912492952902326,0.40155289599988464,0.4539074559997971,1.3380758344412769,0,0.18865583199991462,0,0
263,6105.908428032,0.040834303999872645,0.18612889599990012,1.2649111140000358,1.2649111140000358,0.03817856000023312,nan,6.711227883308668,0,1.562708905783662,1.562708905783662,0.42325760000039736,nan,6.233794847521764,0,2.010487316681302,0,0
264,6119.96275072,0.040616704000058235,0.19517593599994143,-1.7825629459607777,1.7825629459607777,0.1512678400004006,nan,6.039519711339553,0,1.9781378054033638,1.9781378054033638,0.44277862400031154,nan,4.214723801727008,0,2.662810514001776,0,0
265,6128.582176512,0.0402347520002877,0.20403456000076403,3.4241311608129177,3.4241311608129177,0.4393553920008344,nan,5.722219740346075,0,-1.9863836799950079,1.9863836799950079,0.4385249280003336,nan,3.8738030385391298,0,3.958584889907065,0,0
266,6144.587475456,0.04010828800073796,0.17486924800050474,-2.0047341352985946,2.0047341352985946,0.18414489600036177,0.3631275520001509,9.04994413738176,0,1.7477988881580018,1.7477988881580018,0.40373299200018664,nan,1.667989582278512,0,2.6596540953059575,0,0
267,6156.175462144,0.040241407999928924,0.17287577600018267,4.27394741433623,4.27394741433623,0.366720512000029,nan,4.008245481510034,0,-1.5331480978416874,1.5331480978416874,0.06525619199965149,0.23528575999989698,3.3191579210055373,0,4.540613349584715,0,0
268,6169.528671744,0.040221440000095754,0.18290969600002427,1.350371380645977,1.350371380645977,0.2543861760004802,nan,5.47784210918538,0,-2.2585143467545876,2.2585143467545876,0.21774284799994348,0.3250565119997191,3.801902378211551,0,2.631423553927422,0,0
269,6169.881332992,0.03941990400016948,0.13341619200036803,5.768834215348387,5.768834215348387,0.4419768320003641,nan,6.575534820556639,0,-4.135242289632336,4.135242289632336,0.39285606399971584,nan,8.153090588666114,0,7.097864256108165,0,0
270,6177.421946112,0.041578752000532404,0.18034560000069177,3.3195853905588653,3.3195853905588653,0.29861632000029203,nan,2.210524847601693,0,2.151962907306226,2.151962907306226,0.4764090879998548,nan,2.4238736251970607,0,3.956082850451153,0,0
271,6188.024119808,0.0467834880000737,0.17862732800040249,-1.5391798303557414,1.5391798303557414,0.16291635200013843,nan,4.533863842090954,0,2.7547117148355404,2.7547117148355404,0.35397376000037184,nan,4.32040207028313,0,3.155552436900089,0,0
272,6188.329851136001,0.04008831999999529,0.14812646399968799,1.9841323821864227,1.9841323821864227,0.23678617599944118,nan,1.8377973795257994,0,3.243437898808086,3.243437898808086,0.2452093439997043,nan,12.648861716318704,0,3.802192882201714,0,0
273,6193.501139712001,0.040974591999656695,0.1877706239993131,1.3479196740625419,1.3479196740625419,0.3485045759998684,nan,5.366602000472682,0,0.24401793478952172,0.24401793478952172,0.009650687999965157,nan,0.8967415331858959,0,1.3698292595151456,0,0
